name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Alexander, Frank."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexander, Frederick Douglas, 1910-1980."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexander, Hugh Q."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexander, Jay W., Jr."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexander, Lamar."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexander, Margaret G. A."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexander, Odom."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexander, of Tralles, ca. 525-ca. 605."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexander, R. D."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexander, Will Winton, 1884-1956."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexander, William W."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexandra, Empress, consort of Nicholas I, Emperor of Russia, 1798-1860."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexandra, Empress, consort of Nicholas II, Emperor of Russia, 1872-1918."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexandra, Queen, consort of Edward VII, King of Great Britain, 1844-1925."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexopoulos, Constantine John, 1907-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alfonso XIII, King of Spain, 1886-1941."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alford, Dale."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alford, L'Moore Fontaine."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alfred, Leroy."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Ali, Karim."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Ali, Sohrab, MPH."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alkhaldi, Hani."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"All Saints' Episcopal Church (Linville, N.C.)"	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allan, Emily C."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen & Boyden Company (Raleigh, N.C.)"	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Annette."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Archie T."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Barbara C. (Barbara Carol), 1967-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Calvin, 1970-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Carolyn Barbee."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Carolyn, 1932-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Cary Joseph."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Charles McKinley, 1945-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Charlton."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Connor Middleton."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, David B."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, David H."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Allen, Eleazer, 1692-1750."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
