name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"AlMousa, Nouf Mousa A"	personal					NCSU	Dspace	1840.20/24
"Almquist, Katherine"	personal					NCSU	Dspace	1840.20/24
"AlMutairi, Bandar Saud"	personal					NCSU	Dspace	1840.20/24
"Al-mutairi, Naif Bejad"	personal					NCSU	Dspace	1840.20/24
"Al-Naser, Mahmud J"	personal					NCSU	Dspace	1840.20/24
"Alnizami, Reema"	personal					NCSU	Dspace	1840.20/24
"Alnizami, Reema Khalid"	personal					NCSU	Dspace	1840.20/24
"Alnowibet, Khalid Abdulaziz"	personal					NCSU	Dspace	1840.20/24
"Alomari, Abdullah Saud"	personal					NCSU	Dspace	1840.20/24
"Al-Otoom, Muawya Mohamed"	personal					NCSU	Dspace	1840.20/24
"Al-Otoom, Muawya Mohamed"	personal					NCSU	Dspace	1840.20/24
"Alpert, Scott Michael"	personal					NCSU	Dspace	1840.20/24
"Alpi, Kristine Markovich"	personal					NCSU	Dspace	1840.20/24
"Alptekin, Emre"	personal					NCSU	Dspace	1840.20/24
"Al-Qasir, Iyad Ibrahim"	personal					NCSU	Dspace	1840.20/24
"Al-Qimlass, Aisha Melissa"	personal					NCSU	Dspace	1840.20/24
"Alsabbagh, Ahmad Hesham Hasan"	personal					NCSU	Dspace	1840.20/24
"Al-Saggaf, Majid"	personal					NCSU	Dspace	1840.20/24
"Alsharef, Abdullah Fahad A"	personal					NCSU	Dspace	1840.20/24
"Alspaugh, Thomas Atkins"	personal					NCSU	Dspace	1840.20/24
"Alston, Allyson A"	personal					NCSU	Dspace	1840.20/24
"Alston, April Valdessa"	personal					NCSU	Dspace	1840.20/24
"Alston, Kendrick Ray"	personal					NCSU	Dspace	1840.20/24
"Alston, Shenek"	personal					NCSU	Dspace	1840.20/24
"Altinbasak, Ece"	personal					NCSU	Dspace	1840.20/24
"Altmae, Annika"	personal					NCSU	Dspace	1840.20/24
"Altunay, Mine"	personal					NCSU	Dspace	1840.20/24
"Altunok, Fatih"	personal					NCSU	Dspace	1840.20/24
"Altuntas, Alper"	personal					NCSU	Dspace	1840.20/24
"Altuntas, Alper"	personal					NCSU	Dspace	1840.20/24
"Alvandi Tabrizi, Youness"	personal					NCSU	Dspace	1840.20/24
"Alvarado, David R"	personal					NCSU	Dspace	1840.20/24
"Alvarez Munoz, Jose"	personal					NCSU	Dspace	1840.20/24
"Aly, Heba Mohamed"	personal					NCSU	Dspace	1840.20/24
"Aly, Karim Aly Abdelmoaty Elsayed"	personal					NCSU	Dspace	1840.20/24
"Alzahrani, Bandar Abdulrahman"	personal					NCSU	Dspace	1840.20/24
"Al-Zawawi, Ahmed Sami"	personal					NCSU	Dspace	1840.20/24
"Al-Zayed, Ayman S"	personal					NCSU	Dspace	1840.20/24
"Amacher, Andrew James"	personal					NCSU	Dspace	1840.20/24
"Aman, Ronald L"	personal					NCSU	Dspace	1840.20/24
"Aman, Ronald Lee"	personal					NCSU	Dspace	1840.20/24
"Aman, Tara Meshane"	personal					NCSU	Dspace	1840.20/24
"Amanatides, Megan Michelle"	personal					NCSU	Dspace	1840.20/24
"Amar, Adam Joseph"	personal					NCSU	Dspace	1840.20/24
"Ambadkar, Aditya Radhakrishna"	personal					NCSU	Dspace	1840.20/24
"Ambekar, Rohit Vinay"	personal					NCSU	Dspace	1840.20/24
"Ambrose, Margery Lee"	personal					NCSU	Dspace	1840.20/24
"Ambrosino, Mary Elizabeth"	personal					NCSU	Dspace	1840.20/24
"Ameerally, Angelique Danielle"	personal					NCSU	Dspace	1840.20/24
"Amid, Hooman"	personal					NCSU	Dspace	1840.20/24
"Amin, Samiul"	personal					NCSU	Dspace	1840.20/24
"Amini, Deborah Ann"	personal					NCSU	Dspace	1840.20/24
"Amir, Asad"	personal					NCSU	Dspace	1840.20/24
"Amirnasr, Elham"	personal					NCSU	Dspace	1840.20/24
"Amley, Hollis Marie"	personal					NCSU	Dspace	1840.20/24
"Ammineni, Chandini Muniratnam"	personal					NCSU	Dspace	1840.20/24
"Amola, Oluwakemi"	personal					NCSU	Dspace	1840.20/24
"Amortnont, Adam Michael"	personal					NCSU	Dspace	1840.20/24
"Amos, Alison Nicole"	personal					NCSU	Dspace	1840.20/24
"Amos, Joshua Daniel"	personal					NCSU	Dspace	1840.20/24
"Amos-Binks, Adam Alexis"	personal					NCSU	Dspace	1840.20/24
"Ampaw, Frimpomaa"	personal					NCSU	Dspace	1840.20/24
"Amsinck, Christian Johannes"	personal					NCSU	Dspace	1840.20/24
"Amudala Bhasker, Ajay Babu"	personal					NCSU	Dspace	1840.20/24
"An, Murat"	personal					NCSU	Dspace	1840.20/24
"An, Qi"	personal					NCSU	Dspace	1840.20/24
"Anand, Nadish"	personal					NCSU	Dspace	1840.20/24
"Anand, Suraj P."	personal					NCSU	Dspace	1840.20/24
"Anantaraman, Aravindh Venkataseshadri"	personal					NCSU	Dspace	1840.20/24
"Anantaraman, Aravindh Venkataseshadri"	personal					NCSU	Dspace	1840.20/24
"Ananthakrishnan, Srinath Krishna"	personal					NCSU	Dspace	1840.20/24
"Anantharaju, Srinath"	personal					NCSU	Dspace	1840.20/24
"Anantharamaiah, Nagendra"	personal					NCSU	Dspace	1840.20/24
"Anantharamaiah, Nagendra"	personal					NCSU	Dspace	1840.20/24
"Anastasiou, Christos Charalambou"	personal					NCSU	Dspace	1840.20/24
"Anbalagan, Prasanth"	personal					NCSU	Dspace	1840.20/24
"Anders, Evan James"	personal					NCSU	Dspace	1840.20/24
"Andersen, Brian Douglas"	personal					NCSU	Dspace	1840.20/24
"Andersen, Elizabeth F."	personal					NCSU	Dspace	1840.20/24
"Anderson, Alecia Danielle"	personal					NCSU	Dspace	1840.20/24
"Anderson, Aliesha Dawn"	personal					NCSU	Dspace	1840.20/24
"Anderson, Allison M"	personal					NCSU	Dspace	1840.20/24
"Anderson, Amanda Lynn"	personal					NCSU	Dspace	1840.20/24
"Anderson, Bryan Daniel"	personal					NCSU	Dspace	1840.20/24
"Anderson, Christopher M"	personal					NCSU	Dspace	1840.20/24
"Anderson, Eric Scott"	personal					NCSU	Dspace	1840.20/24
"Anderson, Jennifer Smith"	personal					NCSU	Dspace	1840.20/24
"Anderson, Jessica"	personal					NCSU	Dspace	1840.20/24
"Anderson, Karen Miller"	personal					NCSU	Dspace	1840.20/24
"Anderson, Kenneth Alonzo"	personal					NCSU	Dspace	1840.20/24
"Anderson, Kim Suzanne"	personal					NCSU	Dspace	1840.20/24
"Anderson, Mark Busey"	personal					NCSU	Dspace	1840.20/24
"Anderson, Mary"	personal					NCSU	Dspace	1840.20/24
"Anderson, Ross Matthew"	personal					NCSU	Dspace	1840.20/24
"Anderson, Steven P."	personal					NCSU	Dspace	1840.20/24
"Anderson, Tracy J"	personal					NCSU	Dspace	1840.20/24
"Andjelkovic, Ivan V."	personal					NCSU	Dspace	1840.20/24
"Andrae, Nathalie Janine"	personal					NCSU	Dspace	1840.20/24
"Andreassi, Cristina Lynne"	personal					NCSU	Dspace	1840.20/24
"Andreassi, Cristina Lynne"	personal					NCSU	Dspace	1840.20/24
"Andres, Ryan J."	personal					NCSU	Dspace	1840.20/24
"Andres, Ryan James"	personal					NCSU	Dspace	1840.20/24
"Andrews, A. Williams"	personal					NCSU	Dspace	1840.20/24
"Andrews, Andrew J."	personal					NCSU	Dspace	1840.20/24
"Andrews, Genna"	personal					NCSU	Dspace	1840.20/24
"Andrews, Joshua Scott"	personal					NCSU	Dspace	1840.20/24
"Andrews, Katie Marie"	personal					NCSU	Dspace	1840.20/24
