name	name_type	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Aldowaisan, T. A."	personal				NCSU	Dspace	1840.20/8
"Asfura, Alejandro P."	personal				NCSU	Dspace	1840.20/8
"Alekseev, V.M."	personal				NCSU	Dspace	1840.20/8
"Martelli, Alessandro"	personal				NCSU	Dspace	1840.20/8
"Tutnov, Alexander A."	personal				NCSU	Dspace	1840.20/8
"Alexander, Charles H."	personal				NCSU	Dspace	1840.20/8
"Alexander, D.J."	personal				NCSU	Dspace	1840.20/8
"Alexander, Douglas"	personal				NCSU	Dspace	1840.20/8
"Alexander, S. M."	personal				NCSU	Dspace	1840.20/8
"Alexander, S. Thomas"	personal				NCSU	Dspace	1840.20/8
"Alexander, Suraj M."	personal				NCSU	Dspace	1840.20/8
"Alexander, William L."	personal				NCSU	Dspace	1840.20/8
"Alexander,Susan"	personal				NCSU	Dspace	1840.20/8
"Carausu, Alexandru"	personal				NCSU	Dspace	1840.20/8
"Alexandru, C."	personal				NCSU	Dspace	1840.20/8
"Alexiades, V."	personal				NCSU	Dspace	1840.20/8
"Alexopoules, Christos"	personal				NCSU	Dspace	1840.20/8
"Alexopoulos, Christos"	personal				NCSU	Dspace	1840.20/8
"Alexpoulos, C."	personal				NCSU	Dspace	1840.20/8
"Al-Holou, Nizar"	personal				NCSU	Dspace	1840.20/8
"Massih, Ali R."	personal				NCSU	Dspace	1840.20/8
"Ali, Aejaz"	personal				NCSU	Dspace	1840.20/8
"Alla, Arta"	personal				NCSU	Dspace	1840.20/8
"Allaman, Peter M."	personal				NCSU	Dspace	1840.20/8
"Allan, Craig"	personal				NCSU	Dspace	1840.20/8
"Allegre, P."	personal				NCSU	Dspace	1840.20/8
"Allen, Andrew S."	personal				NCSU	Dspace	1840.20/8
"Allen, B. C."	personal				NCSU	Dspace	1840.20/8
"Allen, C.J."	personal				NCSU	Dspace	1840.20/8
"Allen, Craig"	personal				NCSU	Dspace	1840.20/8
"Allen, David M."	personal				NCSU	Dspace	1840.20/8
"Allen, G."	personal				NCSU	Dspace	1840.20/8
"Allen, Gregory J."	personal				NCSU	Dspace	1840.20/8
"Allen, P. D."	personal				NCSU	Dspace	1840.20/8
"Allen, Sarah"	personal				NCSU	Dspace	1840.20/8
"Allen, Todd R."	personal				NCSU	Dspace	1840.20/8
"Allen, William B."	personal				NCSU	Dspace	1840.20/8
"Allgood, Gregory S."	personal				NCSU	Dspace	1840.20/8
"Allison, D."	personal				NCSU	Dspace	1840.20/8
"Alliston, D. J."	personal				NCSU	Dspace	1840.20/8
"Allnutt, F. C. T."	personal				NCSU	Dspace	1840.20/8
"Almanzor, Arnold J."	personal				NCSU	Dspace	1840.20/8
"Al-Mharmah, Hisham A."	personal				NCSU	Dspace	1840.20/8
"Alonso, C."	personal				NCSU	Dspace	1840.20/8
"Alperin, Marc J."	personal				NCSU	Dspace	1840.20/8
"Alpizar-Jara, Russell"	personal				NCSU	Dspace	1840.20/8
"Al-Qaq, Wael A."	personal				NCSU	Dspace	1840.20/8
"Alrefaei, Mahmoud"	personal				NCSU	Dspace	1840.20/8
"Alrefaei, Mahmoud H."	personal				NCSU	Dspace	1840.20/8
"Al-Shawaf, Taha D."	personal				NCSU	Dspace	1840.20/8
"Alspaugh, Thomas A."	personal				NCSU	Dspace	1840.20/8
"Altes, J."	personal				NCSU	Dspace	1840.20/8
"Altstadt, E."	personal				NCSU	Dspace	1840.20/8
"Altstadt, Eberhard"	personal				NCSU	Dspace	1840.20/8
