name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
Akiyama, Toshiyuki	personal		Creator			UNCCH	CDR	
Akman, Bilgen	personal		Creator			UNCCH	CDR	
Akos, Patrick	personal		Thesis advisor			UNCCH	CDR	
Akslen, Lars A.	personal		Creator			UNCCH	CDR	
Akushevich, Lucy	personal		Creator			UNCCH	CDR	
Alaba, Oluseyi F.	personal		Creator			UNCCH	CDR	
Alabi, Funmi	personal		Creator			UNCCH	CDR	
Alakhova, Daria Y.	personal		Creator			UNCCH	CDR	
Alam, Anadil	personal		Creator			UNCCH	CDR	
Alam, Asiya	personal		Creator			UNCCH	CDR	
Alam, Ishrat Zarin	personal		Creator			UNCCH	CDR	
Alam, Nazmul	personal		Creator			UNCCH	CDR	
Alam, S Munir	personal		Creator			UNCCH	CDR	
Alamo, Juan	personal		Thesis advisor			UNCCH	CDR	
Alan, Jamie	personal		Creator			UNCCH	CDR	
Alan, Jamie K	personal		Creator			UNCCH	CDR	
Alanio, Alexandre	personal		Creator			UNCCH	CDR	
Alarcón, Graciela S	personal		Creator			UNCCH	CDR	
Alatorre, Ramón DC	personal		Creator			UNCCH	CDR	
Alattar, Zaineb	personal		Creator			UNCCH	CDR	
Alavian, Shereen	personal		Creator			UNCCH	CDR	
Alazzam, Melanie	personal		Creator			UNCCH	CDR	
Alba, Emilio	personal		Creator			UNCCH	CDR	
Albai, Giuseppe	personal		Creator			UNCCH	CDR	
Albain, Kathy S.	personal		Creator			UNCCH	CDR	
Alban, Dayuma	personal		Creator			UNCCH	CDR	
Al-Banna, Sophia	personal		Creator			UNCCH	CDR	
Al-Barwani, Saada	personal		Creator			UNCCH	CDR	
Albaugh, Daniel	personal		Creator			UNCCH	CDR	
Albee, Becca	personal		Creator			UNCCH	CDR	
Alberg, Anthony J.	personal		Creator			UNCCH	CDR	
Albert, Kacie	personal		Creator			UNCCH	CDR	
Albert, Lisa Marie	personal		Creator			UNCCH	CDR	
Albert, Nancy M	personal		Creator			UNCCH	CDR	
Albert, Samuel J.	personal		Creator			UNCCH	CDR	
Albert, Steven M	personal		Creator			UNCCH	CDR	
Alberti, K.G.M.M.	personal		Creator			UNCCH	CDR	
Albino, Judith	personal		Creator			UNCCH	CDR	
Albold, Sabine	personal		Creator			UNCCH	CDR	
Albrecht, Helmut H	personal		Creator			UNCCH	CDR	
Albrecht, Sandra	personal		Creator;;;Thesis advisor			UNCCH	CDR	
Albright, Ann	personal		Thesis advisor			UNCCH	CDR	
Albright, Blake	personal		Creator			UNCCH	CDR	
Albright, Jody	personal		Creator			UNCCH	CDR	
Albright, William	personal		Composer			UNCCH	CDR	
Albritton, Jordan	personal		Creator			UNCCH	CDR	
Albritton, Tashuna D.	personal		Creator			UNCCH	CDR	
Albro, Phillip W.	personal		Thesis advisor			UNCCH	CDR	
Al-Bulushi, Yousuf	personal		Creator			UNCCH	CDR	
Albury, Robert Warren	personal		Creator			UNCCH	CDR	
Alcalde, M. Gabriela	personal		Creator			UNCCH	CDR	
Alcedo, Karel P	personal		Creator			UNCCH	CDR	
Alcorn, Francis	personal		Creator			UNCCH	CDR	
Alcorn, Frank	personal		Creator			UNCCH	CDR	
Aldape, Kenneth	personal		Creator			UNCCH	CDR	
Aldatmaz, Serdar	personal		Creator			UNCCH	CDR	
Alden, Kathryn	personal		Thesis advisor			UNCCH	CDR	
Alden, Sara	personal		Creator			UNCCH	CDR	
Alder, Brian D	personal		Creator			UNCCH	CDR	
Alder, Simon	personal		Thesis advisor			UNCCH	CDR	
Alderman, Cheryl	personal		Creator			UNCCH	CDR	
Alderman, Jennifer	personal		Thesis advisor			UNCCH	CDR	
Alderman, Jennifer M.	personal		Creator			UNCCH	CDR	
Aldred, Stephanie	personal		Reviewer			UNCCH	CDR	
Aldredge, Robert	personal		Creator			UNCCH	CDR	
Aldrich, Beccy	personal		Creator			UNCCH	CDR	
Aldrich, Howard	personal		Thesis advisor			UNCCH	CDR	
Aldrich, John	personal		Thesis advisor			UNCCH	CDR	
Aldrich, Rebecca (Beccy) M.	personal		Creator			UNCCH	CDR	
Aldridge, Arnie	personal		Creator			UNCCH	CDR	
Aldridge, William A	personal		Creator			UNCCH	CDR	
Aldridge, William Allen	personal		Creator			UNCCH	CDR	
Aldridge, William Allen.	personal		Creator			UNCCH	CDR	
Aldrige, Robert Livingston	personal		Composer			UNCCH	CDR	
Alegria-Flores, Kei	personal		Creator			UNCCH	CDR	
Alejo, Aidin	personal		Creator			UNCCH	CDR	
Alekseev, Oleg M	personal		Creator			UNCCH	CDR	
Aleman, Maria M.	personal		Creator			UNCCH	CDR	
Alemi, Farrokh	personal		Creator			UNCCH	CDR	
Alencar, Michelle	personal		Creator			UNCCH	CDR	
Alexander, Angel	personal		Reviewer			UNCCH	CDR	
Alexander, Charles M	personal		Creator			UNCCH	CDR	
Alexander, Christian	personal		Arranger			UNCCH	CDR	
Alexander, Dayna S	personal		Creator			UNCCH	CDR	
Alexander, Georgia	personal		Thesis advisor			UNCCH	CDR	
Alexander, Georgia M.	personal		Creator			UNCCH	CDR	
Alexander, Keisha N.	personal		Creator			UNCCH	CDR	
Alexander, Kristen Delane	personal		Creator			UNCCH	CDR	
Alexander, Laura	personal		Creator			UNCCH	CDR	
Alexander, Lorraine K.	personal		Creator			UNCCH	CDR	
Alexander, Martha	personal		Creator			UNCCH	CDR	
Alexander, Natalia	personal		Creator			UNCCH	CDR	
Alexander, Nathan	personal		Thesis advisor			UNCCH	CDR	
Alexander, R. Wayne	personal		Creator			UNCCH	CDR	
Alexander, Rumay	personal		Thesis advisor			UNCCH	CDR	
Alexander, Seth	personal		Creator			UNCCH	CDR	
Alexander, Thomas	personal		Creator			UNCCH	CDR	
Alexander, William	personal		Creator			UNCCH	CDR	
Alexander, William P., ICA	personal		Composer			UNCCH	CDR	
Alexander Craft, Renee	personal		Thesis advisor			UNCCH	CDR	
Alexander Craft, Renée	personal		Thesis advisor			UNCCH	CDR	
Alexandre, Derick Napoleon	personal		Creator			UNCCH	CDR	
Alexandre, Kelly Marie	personal		Creator			UNCCH	CDR	
Alexandridis, Apostolos	personal		Creator			UNCCH	CDR	
Alexanian, Erik	personal		Thesis advisor			UNCCH	CDR	
Alexe, Gabriela	personal		Creator			UNCCH	CDR	
Alexe, Gabriele	personal		Creator			UNCCH	CDR	
Alexis, Neil	personal		Creator;;;Thesis advisor			UNCCH	CDR	
Alexis Kirk, M.	personal		Creator			UNCCH	CDR	
Alexy, Elizabeth	personal		Creator			UNCCH	CDR	
Al-Falahi, Saja	personal		Creator			UNCCH	CDR	
Alfano-Sobsey, Edie	personal		Creator			UNCCH	CDR	
Alfaro, Jose	personal		Creator			UNCCH	CDR	
Alford, Sylvia	personal		Creator			UNCCH	CDR	
Alford, Terry W.	personal		Creator			UNCCH	CDR	
Alford-Teaster, Jennifer	personal		Creator			UNCCH	CDR	
Alfredson, Peter	personal		Creator			UNCCH	CDR	
Al-Fuhaid, Jena Abdullah	personal		Creator			UNCCH	CDR	
Alger Lin, Gretchen	personal		Creator			UNCCH	CDR	
AlGheithy, Demah	personal		Creator			UNCCH	CDR	
Al-Ghoul, Kristin J	personal		Creator			UNCCH	CDR	
Al Ghoul, Samantha	personal		Author			UNCCH	CDR	
Algoe, Sara	personal		Creator;;;Thesis advisor			UNCCH	CDR	
AlHadidi, Abeer	personal		Creator			UNCCH	CDR	
Al-Halabi, Becher	personal		Creator			UNCCH	CDR	
Al-Hammadi, Suleiman	personal		Creator			UNCCH	CDR	
Alhudaib, Omar	personal		Creator			UNCCH	CDR	
Ali, Kecia	personal		Thesis advisor			UNCCH	CDR	
Ali, Mohammad	personal		Creator			UNCCH	CDR	
Ali, Muhammad	personal		Creator			UNCCH	CDR	
Ali, Rizwana	personal		Creator			UNCCH	CDR	
Ali, Yasmin	personal		Creator			UNCCH	CDR	
Alia, Kassandra A	personal		Creator			UNCCH	CDR	
Aliaga, Sofia	personal		Reviewer			UNCCH	CDR	
Aliaga, Sofia, MD	personal		Creator			UNCCH	CDR	
Alick, Candice	personal		Creator			UNCCH	CDR	
Alidina, Zainab	personal		Creator			UNCCH	CDR	
Alimohamadi, Sahar	personal		Creator;;;Thesis advisor			UNCCH	CDR	
Ali-Osman, Francis	personal		Creator			UNCCH	CDR	
Aliot, Etienne M.	personal		Creator			UNCCH	CDR	
Alishahitabriz, Amir	personal		Creator			UNCCH	CDR	
Alizadeh, Ash A.	personal		Creator			UNCCH	CDR	
Aljadhey, Hisham	personal		Creator			UNCCH	CDR	
Aljoura, Loubna	personal		Creator			UNCCH	CDR	
Alkan, Zeynep Cagla	personal		Creator			UNCCH	CDR	
