name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Bacon, Samuel Rankin, 1900-"	personal					ECU	Symphony	NCPersName
"Badger, George E., 1795-1866"	personal					ECU	Symphony	NCPersName
"Bagby, Libby"	personal					ECU	Symphony	NCPersName
"Baggett, Geoff"	personal					ECU	Symphony	NCPersName
"Bailey, Carolyn Sherwin, 1875-1961"	personal					ECU	Symphony	NCPersName
"Bailey, J. Todd"	personal					ECU	Symphony	NCPersName
"Bailey, James (James Lewis)"	personal					ECU	Symphony	NCPersName
"Bailey, Josiah William, 1873-1946"	personal					ECU	Symphony	NCPersName
"Bailey, Lloyd R., 1936-"	personal					ECU	Symphony	NCPersName
"Baily, Waldron, 1871-1953"	personal					ECU	Symphony	NCPersName
"Bain, Grady L. (Grady Lee)"	personal					ECU	Symphony	NCPersName
"Bain, William T."	personal					ECU	Symphony	NCPersName
"Baker, Don"	personal					ECU	Symphony	NCPersName
"Baker, Sharlene"	personal					ECU	Symphony	NCPersName
"Baldree, Nancy Horton Joyner, 1902-1994"	personal					ECU	Symphony	NCPersName
"Baldwin, Mart"	personal					ECU	Symphony	NCPersName
"Baldwin, Seth"	personal					ECU	Symphony	NCPersName
"Balfour, Nisbet, 1743-1823"	personal					ECU	Symphony	NCPersName
"Ball, Charlie (Novelist)"	personal					ECU	Symphony	NCPersName
"Ball, David (David A.), 1942-"	personal					ECU	Symphony	NCPersName
"Ball, Donna"	personal					ECU	Symphony	NCPersName
"Ballard, C. R. (Curt R.)"	personal					ECU	Symphony	NCPersName
"Ballard, Kimberly M."	personal					ECU	Symphony	NCPersName
"Ballard, Mignon Franklin"	personal					ECU	Symphony	NCPersName
"Ballard, Robert E."	personal					ECU	Symphony	NCPersName
"Balzo, Sandra"	personal					ECU	Symphony	NCPersName
"Banning, Margaret Culkin, 1891-1982"	personal					ECU	Symphony	NCPersName
"Barbee, Elizabeth Terry"	personal					ECU	Symphony	NCPersName
"Barber, Jasper E. (Jasper Earl), 1938-"	personal					ECU	Symphony	NCPersName
"Barbour, Ruth P."	personal					ECU	Symphony	NCPersName
"Barclay, Morgan"	personal					ECU	Symphony	NCPersName
"Barefoot, Daniel W., 1951-"	personal					ECU	Symphony	NCPersName
"Barfield, Velma, 1932-1984"	personal					ECU	Symphony	NCPersName
"Barker, B. (Benjamin)"	personal					ECU	Symphony	NCPersName
"Barker, Daisy King"	personal					ECU	Symphony	NCPersName
"Barker, Ruth B."	personal					ECU	Symphony	NCPersName
"Barkley, Brad"	personal					ECU	Symphony	NCPersName
"Barlow, Arthur, 1550 (ca)-1620"	personal					ECU	Symphony	NCPersName
"Barnes, Bettie Vaughan"	personal					ECU	Symphony	NCPersName
"Barnes, Jay"	personal					ECU	Symphony	NCPersName
"Barnes, John S."	personal					ECU	Symphony	NCPersName
"Barnes, Mary Hollis"	personal					ECU	Symphony	NCPersName
"Barnes, Sam G."	personal					ECU	Symphony	NCPersName
"Barnett, Janet, 1958-"	personal					ECU	Symphony	NCPersName
"Barnhardt, Wilton"	personal					ECU	Symphony	NCPersName
"Barnwell, Mildred Gwin"	personal					ECU	Symphony	NCPersName
"Barnwell, Robinson"	personal					ECU	Symphony	NCPersName
"Barnwell, Tim, 1955-"	personal					ECU	Symphony	NCPersName
"Barr, R. R."	personal					ECU	Symphony	NCPersName
"Barrantes, Samuel L."	personal					ECU	Symphony	NCPersName
"Barrett, J. Pressley (John Pressley), 1852-1924"	personal					ECU	Symphony	NCPersName
"Barrett, Linda Marie"	personal					ECU	Symphony	NCPersName
"Barrier, Smith"	personal					ECU	Symphony	NCPersName
"Barringer, John Alston, 1851-1931"	personal					ECU	Symphony	NCPersName
"Barringer, Rufus, 1821-1895"	personal					ECU	Symphony	NCPersName
"Barringer, Victor C. (Victor Clay), 1827-1896"	personal					ECU	Symphony	NCPersName
"Barritt, Christy"	personal					ECU	Symphony	NCPersName
"Barron, A.C."	personal					ECU	Symphony	NCPersName
"Barron, Elwyn, 1855-1929"	personal					ECU	Symphony	NCPersName
"Barrows, Cliff"	personal					ECU	Symphony	NCPersName
"Barry, Jane, 1925-"	personal					ECU	Symphony	NCPersName
"Bartholomew, Nancy"	personal					ECU	Symphony	NCPersName
"Bartlett, Frederick Orin, 1876-1945"	personal					ECU	Symphony	NCPersName
