name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	Institution	source_system	collection	source					
Central Railroad of New Jersey	corporate				http://lccn.loc.gov/n80061805	NCSU	ArchivesSpace		lcnaf					
Kansas City Southern Railway Company	corporate				http://lccn.loc.gov/n86056772	NCSU	ArchivesSpace		lcnaf					
Leigh Valley Railroad Company	corporate					NCSU	ArchivesSpace		lcnaf					
Long Island Rail Road	corporate				http://lccn.loc.gov/n82052559	NCSU	ArchivesSpace		lcnaf					
Maine Central Railroad Company	corporate				http://lccn.loc.gov/n85248902	NCSU	ArchivesSpace		lcnaf					
"Chicago, Milwaukee, St. Paul, and Pacific Railroad Company"	corporate				http://lccn.loc.gov/n85034410	NCSU	ArchivesSpace		lcnaf					
Keramos (Fraternity). North Carolina State University Chapter	corporate					NCSU	ArchivesSpace		local					
Missouri Pacific Railroad Company	corporate				http://lccn.loc.gov/n79093093	NCSU	ArchivesSpace		lcnaf					
"Missouri, Kansas and Texas Railway Company"	corporate				http://lccn.loc.gov/no95007372	NCSU	ArchivesSpace		lcnaf					
New York and New Haven Railroad Company	corporate				http://lccn.loc.gov/n92004356	NCSU	ArchivesSpace		lcnaf					
New York Central Railroad Company	corporate				http://lccn.loc.gov/n86134556	NCSU	ArchivesSpace		lcnaf					
"New York, Chicago & St. Louis Railroad"	corporate				http://lccn.loc.gov/nr91041182	NCSU	ArchivesSpace		lcnaf					
Norfolk and Western Railway Company	corporate				http://lccn.loc.gov/n83042258	NCSU	ArchivesSpace		lcnaf					
Northern Pacific Railroad Company	corporate				http://lccn.loc.gov/n80081556	NCSU	ArchivesSpace		lcnaf					
North-Western Railroad Company	corporate				http://lccn.loc.gov/nr93022074	NCSU	ArchivesSpace		lcnaf					
Pennsylvania Railroad	corporate				http://lccn.loc.gov/n82258320	NCSU	ArchivesSpace		lcnaf					
Pennsylvania-Reading Seashore Lines	corporate				http://lccn.loc.gov/n81135014	NCSU	ArchivesSpace		lcnaf					
