name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Bunn, Sarah"	personal					ECU	ArchivesSpace	PersonCreator
"Burdick, Harold Stacey"	personal					ECU	ArchivesSpace	PersonCreator
"Burge, Darius"	personal					ECU	ArchivesSpace	PersonCreator
"Burgeman, Jack"	personal					ECU	ArchivesSpace	PersonCreator
"Burgess, J. A."	personal					ECU	ArchivesSpace	PersonCreator
"Burk, William R."	personal					ECU	ArchivesSpace	PersonCreator
"Burke, Julian T."	personal					ECU	ArchivesSpace	PersonCreator
"Burley, Thomas G."	personal					ECU	ArchivesSpace	PersonCreator
"Burnham, John M., -1957"	personal					ECU	ArchivesSpace	PersonCreator
"Burnside, Maurice Gwinn"	personal					ECU	ArchivesSpace	PersonCreator
"Burris, Willard G."	personal					ECU	ArchivesSpace	PersonCreator
"Burritt, Charles Amos, Dr."	personal					ECU	ArchivesSpace	PersonCreator
"Burrowes, Thomas"	personal					ECU	ArchivesSpace	PersonCreator
"Burt, Ethel May"	personal					ECU	ArchivesSpace	PersonCreator
"Bynum, Joseph Nicholas"	personal					ECU	ArchivesSpace	PersonCreator
"Byrd, David L."	personal					ECU	ArchivesSpace	PersonCreator
"Byrnside, Benjamin Claude"	personal					ECU	ArchivesSpace	PersonCreator
"Cable, Michael"	personal					ECU	ArchivesSpace	PersonCreator
"Cagle, Malcolm W."	personal					ECU	ArchivesSpace	PersonCreator
"Calder, Edwin L. (Cohn)"	personal					ECU	ArchivesSpace	PersonCreator
"Caldwell, Erskine (Erskine Preston)"	personal					ECU	ArchivesSpace	PersonCreator
"Caldwell, Robert C."	personal					ECU	ArchivesSpace	PersonCreator
"Calhoun, Charles Raymond"	personal					ECU	ArchivesSpace	PersonCreator
"Callahan, Ola Eugene, b. 1892"	personal					ECU	ArchivesSpace	PersonCreator
"Cameron, Don B."	personal					ECU	ArchivesSpace	PersonCreator
"Camp, Wilson, 8th Regiment U. S. Colored Troops, Captain"	personal					ECU	ArchivesSpace	PersonCreator
"Cantwell, Robert (Robert Emmett)"	personal					ECU	ArchivesSpace	PersonCreator
"Capps, Arlie George, 1918-1986"	personal					ECU	ArchivesSpace	PersonCreator
"Caproni di Taliedo, Maria Fede , Contessa"	personal					ECU	ArchivesSpace	PersonCreator
"Carlton, Cornelius Hart"	personal					ECU	ArchivesSpace	PersonCreator
"Carr, C. Stuart"	personal					ECU	ArchivesSpace	PersonCreator
"Carr, Elias, 1839-1900"	personal					ECU	ArchivesSpace	PersonCreator
"Carr, George Watts"	personal					ECU	ArchivesSpace	PersonCreator
"Carr, Jack Ladd"	personal					ECU	ArchivesSpace	PersonCreator
"Carrington, A. B."	personal					ECU	ArchivesSpace	PersonCreator
"Cartagena, Willie"	personal					ECU	ArchivesSpace	PersonCreator
"Carter, James Williard, d. 1918"	personal					ECU	ArchivesSpace	PersonCreator
"Cartwright, Barbara"	personal					ECU	ArchivesSpace	PersonCreator
"Casey, Eleanor Daniels"	personal					ECU	ArchivesSpace	PersonCreator
"Cashman, D. B."	personal					ECU	ArchivesSpace	PersonCreator
"Cassel, J. G., Rev."	personal					ECU	ArchivesSpace	PersonCreator
"Cassill, R. V. (Ronald Verlin)"	personal					ECU	ArchivesSpace	PersonCreator
"Castelloe, Jesse Woodrow, 1913-1980"	personal					ECU	ArchivesSpace	PersonCreator
"Caswell, Richard"	personal					ECU	ArchivesSpace	PersonCreator
"Caviness, Verne S."	personal					ECU	ArchivesSpace	PersonCreator
"Celustka, Robert J."	personal					ECU	ArchivesSpace	PersonCreator
"Chalk, John Ambrose"	personal					ECU	ArchivesSpace	PersonCreator
"Champ, Henry"	personal					ECU	ArchivesSpace	PersonCreator
"Chapman, George M."	personal					ECU	ArchivesSpace	PersonCreator
"Chapman, Paul Webb"	personal					ECU	ArchivesSpace	PersonCreator
"Chappell, Fred (Fred Davis)"	personal					ECU	ArchivesSpace	PersonCreator
"Charles, Lucile Marie Hoerr"	personal					ECU	ArchivesSpace	PersonCreator
"Chavez, Josefina"	personal					ECU	ArchivesSpace	PersonCreator
"Cheatham, Gordon"	personal					ECU	ArchivesSpace	PersonCreator
"Cherry, Ada Pearce"	personal					ECU	ArchivesSpace	PersonCreator
"Cherry, James B., 1840-1905"	personal					ECU	ArchivesSpace	PersonCreator
"Cherry, Kelly"	personal					ECU	ArchivesSpace	PersonCreator
"Chester, Alvin P., 1916-"	personal					ECU	ArchivesSpace	PersonCreator
"Chester, William R."	personal					ECU	ArchivesSpace	PersonCreator
"Chuilleanáin, Eiléan Ní"	personal					ECU	ArchivesSpace	PersonCreator
"Churchill, Levis Allen"	personal					ECU	ArchivesSpace	PersonCreator
"Ciardi, John (John Anthony)"	personal					ECU	ArchivesSpace	PersonCreator
"Clark, Eleanor (Mrs. Robert Penn Warren)"	personal					ECU	ArchivesSpace	PersonCreator
"Clark, John A."	personal					ECU	ArchivesSpace	PersonCreator
"Clarke, William E., 1850-1901"	personal					ECU	ArchivesSpace	PersonCreator
"Clayton, Effie Davis"	personal					ECU	ArchivesSpace	PersonCreator
"Clemens, Samuel Langhorne, 1835-1910"	personal					ECU	ArchivesSpace	PersonCreator
"Clement, Thomas M."	personal					ECU	ArchivesSpace	PersonCreator
"Clements, William T."	personal					ECU	ArchivesSpace	PersonCreator
"Clodius, Robert"	personal					ECU	ArchivesSpace	PersonCreator
"Cloppenburg, Johannes"	personal					ECU	ArchivesSpace	PersonCreator
"Cobb, Hutton"	personal					ECU	ArchivesSpace	PersonCreator
"Cobb, Thomas Jefferson ""Jeff"""	personal					ECU	ArchivesSpace	PersonCreator
"Cobb, William H."	personal					ECU	ArchivesSpace	PersonCreator
"Cobourn, Alston"	personal					ECU	ArchivesSpace	PersonCreator
"Cochran, Sherman"	personal					ECU	ArchivesSpace	PersonCreator
"Cocke, Thomas P."	personal					ECU	ArchivesSpace	PersonCreator
"Coelho, Enrique"	personal					ECU	ArchivesSpace	PersonCreator
"Colbert, Bryan R."	personal					ECU	ArchivesSpace	PersonCreator
"Cole, Fred"	personal					ECU	ArchivesSpace	PersonCreator
"Cole, Fred, Mrs."	personal					ECU	ArchivesSpace	PersonCreator
"Cole, Henri"	personal					ECU	ArchivesSpace	PersonCreator
